unique_id,first_name,last_name,gender,age,ethnicity,disability,favourite colour,email,phone,age_bucket,colour_bucket,address_check_aus
53,Dayo,Adebajo,Male,73,Other ethnic group,No,Red,Dayo@gmail.com,011632339026,65+,Red,
54,Lila,Qamar,Female,66,Asian or Asian British,Yes,Green,Lila@gmail.com,068933264154,65+,Green,
55,Juan,Orellana,Male,41,White,Yes,Green,Juan@gmail.com,067022931922,35-44,Green,
56,Noura,Saidani,Female,70,Asian or Asian British,No,don't know,Noura@gmail.com,032977671438,65+,Other,
57,Ali,Sharafian,Male,68,White,Yes,Red,Ali@gmail.com,037112101053,65+,Red,
58,Camila,Del Toro,Female,80,Mixed or Multiple ethnic groups,No,Green,Camila@gmail.com,032708709459,65+,Green,
59,Zayn,Marzouk,Male,35,Asian or Asian British,Yes,Red,Zayn@gmail.com,058396108404,35-44,Red,
60,Beatrice,Van der Meer,Female,69,White,Yes,Red,Beatrice@gmail.com,052404635445,65+,Red,
61,Emma,Renoux,Female,29,Asian or Asian British,Yes,Red,Emma@gmail.com,057457930686,25-34,Red,
62,Jacques,Martel,Male,42,White,Yes,Green,Jacques@gmail.com,017030002289,35-44,Green,
63,Nabil,Rachid,Male,72,Black or African or Caribbean or Black British,No,magenta,Nabil@gmail.com,029846996969,65+,Other,
64,Maria,Calderín,Female,28,Asian or Asian British,Yes,Green,Maria@gmail.com,07470069712,25-34,Green,
65,Tarek,Al-Rami,Male,40,White,Yes,Red,Tarek@gmail.com,057747737952,35-44,Red,
66,Zola,Mkhatshwa,Female,55,Asian or Asian British,No,Blue,Zola@gmail.com,052286595314,55-64,Blue,
67,Siti,Az-Zahra,Female,66,Mixed or Multiple ethnic groups,No,Blue,Siti@gmail.com,00113093760,65+,Blue,
68,Amira,Dabbagh,Female,57,White,Yes,Blue,Amira@gmail.com,045465461768,55-64,Blue,
69,Raj,Iyer,Male,38,Asian or Asian British,No,Red,Raj@gmail.com,015032083037,35-44,Red,
70,Malik,Idrissi,Male,70,Other ethnic group,No,Green,Malik@gmail.com,022393134013,65+,Green,
71,Samantha,Drewen,Female,27,White,No,Red,Samantha@gmail.com,016929680570,25-34,Red,
72,Violeta,Milenkova,Female,45,Asian or Asian British,Yes,White,Violeta@gmail.com,017386300458,45-54,Other,
73,Solomon,Tekle,Male,24,Black or African or Caribbean or Black British,No,Green,Solomon@gmail.com,071871610344,18-24,Green,
74,Belen,Márquez,Female,67,White,Yes,Green,Belen@gmail.com,067606679299,65+,Green,
75,Ayo,Olanrewaju,Male,88,Asian or Asian British,Yes,Green,Ayo@gmail.com,033892854772,65+,Green,
76,Josie,Denholm,Female,39,White,Yes,Blue,Josie@gmail.com,030052491425,35-44,Blue,
77,Sabine,Krüger,Female,65,Mixed or Multiple ethnic groups,No,Black,Sabine@gmail.com,060015394073,65+,Other,
78,Leticia,Villaseñor,Female,44,Asian or Asian British,Yes,Red,Leticia@gmail.com,037991417846,35-44,Red,
79,Bo,Zhangwen,Non-binary or other,43,White,Yes,Blue,Bo@gmail.com,033290021891,35-44,Blue,
80,Tariq,Noorani,Male,48,Other ethnic group,No,Blue,Tariq@gmail.com,031389552445,45-54,Blue,
81,Lina,Tarekian,Female,71,Asian or Asian British,Yes,White,Lina@gmail.com,010327186871,65+,Other,
82,Dinesh,Bhattacharjee,Male,40,Black or African or Caribbean or Black British,No,Red,Dinesh@gmail.com,029345777645,35-44,Red,
83,Gabriel,Covas,Male,23,White,Yes,Blue,Gabriel@gmail.com,035956342297,18-24,Blue,
84,Lara,Meireles,Female,37,Asian or Asian British,Yes,Blue,Lara@gmail.com,030924263632,35-44,Blue,
85,Ingrid,Stølen,Female,55,White,Yes,Red,Ingrid@gmail.com,056981689651,55-64,Red,
86,Esteban,Quiroga,Male,69,Asian or Asian British,No,Black,Esteban@gmail.com,066200358387,65+,Other,
87,Hina,Qureshi,Female,20,Mixed or Multiple ethnic groups,No,Red,Hina@gmail.com,026622023938,18-24,Red,
88,Zoe,Lichtenberg,Female,66,White,Yes,Green,Zoe@gmail.com,017985101844,65+,Green,
89,Johan,Nyström,Male,60,Asian or Asian British,No,Green,Johan@gmail.com,07192889146,55-64,Green,
90,Chandra,Jeyasinghe,Male,41,White,Yes,Green,Chandra@gmail.com,067509144829,35-44,Green,
91,Yara,Abboud,Female,70,Asian or Asian British,No,Blue,Yara@gmail.com,020269207281,65+,Blue,
92,Joaquim,Caldeira,Male,66,White,Yes,Red,Joaquim@gmail.com,016011445015,65+,Red,
93,Karim,Haddouchi,Male,73,Asian or Asian British,Yes,Blue,Karim@gmail.com,019443124163,65+,Blue,
94,Isobel,Kinnersley,Female,59,Black or African or Caribbean or Black British,No,Blue,Isobel@gmail.com,05488636457,55-64,Blue,
95,Sasha,Morozov,Non-binary or other,36,Other ethnic group,No,Blue,Sasha@gmail.com,039090049331,35-44,Blue,
96,Kofi,Agyeman,Male,67,Asian or Asian British,No,Red,Kofi@gmail.com,065698359680,65+,Red,
97,Patrice,Malouda,Female,58,White,Yes,Red,Patrice@gmail.com,072591574005,55-64,Red,
98,Lucia,Fontanilla,Female,46,Asian or Asian British,Yes,Red,Lucia@gmail.com,044044341262,45-54,Red,
99,Tunde,Ajiboye,Male,49,White,Yes,Red,Tunde@gmail.com,048615320414,45-54,Red,
100,Joon,Baek-Hwan,Non-binary or other,68,Asian or Asian British,No,Red,Joon@gmail.com,038207640171,65+,Red,
